Date,Phase
1990-12-02,PL
1990-12-09,DQ
1990-12-17,NL
1990-12-25,PQ
1990-12-31,PL
1991-01-07,DQ
1991-01-15,NL
1991-01-23,PQ
1991-01-30,PL
1991-02-06,DQ
1991-02-14,NL
1991-02-21,PQ
1991-02-28,PL
1991-03-08,DQ
1991-03-16,NL
1991-03-23,PQ
1991-03-30,PL
1991-04-07,DQ
1991-04-14,NL
1991-04-21,PQ
1991-04-28,PL
1991-05-07,DQ
1991-05-14,NL
1991-05-20,PQ
1991-05-28,PL
1991-06-05,DQ
1991-06-12,NL
1991-06-19,PQ
1991-06-27,PL
1991-07-05,DQ
1991-07-11,NL
1991-07-18,PQ
1991-07-26,PL
1991-08-03,DQ
1991-08-10,NL
1991-08-17,PQ
1991-08-25,PL
1991-09-01,DQ
1991-09-08,NL
1991-09-15,PQ
1991-09-23,PL
1991-10-01,DQ
1991-10-07,NL
1991-10-15,PQ
1991-10-23,PL
1991-10-30,DQ
1991-11-06,NL
1991-11-14,PQ
1991-11-21,PL
1991-11-28,DQ
1991-12-06,NL
1991-12-14,PQ
1991-12-21,PL
1991-12-28,DQ
1992-01-04,NL
1992-01-13,PQ
1992-01-19,PL
1992-01-26,DQ
1992-02-03,NL
1992-02-11,PQ
1992-02-18,PL
1992-02-25,DQ
1992-03-04,NL
1992-03-12,PQ
1992-03-18,PL
1992-03-26,DQ
1992-04-03,NL
1992-04-10,PQ
1992-04-17,PL
1992-04-24,DQ
1992-05-02,NL
1992-05-09,PQ
1992-05-16,PL
1992-05-24,DQ
1992-06-01,NL
1992-06-07,PQ
1992-06-15,PL
1992-06-23,DQ
1992-06-30,NL
1992-07-07,PQ
1992-07-14,PL
1992-07-22,DQ
1992-07-29,NL
1992-08-05,PQ
1992-08-13,PL
1992-08-21,DQ
1992-08-28,NL
1992-09-03,PQ
1992-09-12,PL
1992-09-19,DQ
1992-09-26,NL
1992-10-03,PQ
1992-10-11,PL
1992-10-19,DQ
1992-10-25,NL
1992-11-02,PQ
1992-11-10,PL
1992-11-17,DQ
1992-11-24,NL
1992-12-02,PQ
1992-12-09,PL
1992-12-16,DQ
1992-12-24,NL
1993-01-01,PQ
1993-01-08,PL
1993-01-15,DQ
1993-01-22,NL
1993-01-30,PQ
1993-02-06,PL
1993-02-13,DQ
1993-02-21,NL
1993-03-01,PQ
1993-03-08,PL
1993-03-15,DQ
1993-03-23,NL
1993-03-31,PQ
1993-04-06,PL
1993-04-13,DQ
1993-04-21,NL
1993-04-29,PQ
1993-05-06,PL
1993-05-13,DQ
1993-05-21,NL
1993-05-28,PQ
1993-06-04,PL
1993-06-12,DQ
1993-06-20,NL
1993-06-26,PQ
1993-07-03,PL
1993-07-11,DQ
1993-07-19,NL
1993-07-26,PQ
1993-08-02,PL
1993-08-10,DQ
1993-08-17,NL
1993-08-24,PQ
1993-09-01,PL
1993-09-09,DQ
1993-09-16,NL
1993-09-22,PQ
1993-09-30,PL
1993-10-08,DQ
1993-10-15,NL
1993-10-22,PQ
1993-10-30,PL
1993-11-07,DQ
1993-11-13,NL
1993-11-21,PQ
1993-11-29,PL
1993-12-06,DQ
1993-12-13,NL
1993-12-20,PQ
1993-12-28,PL
1994-01-05,DQ
1994-01-11,NL
1994-01-19,PQ
1994-01-27,PL
1994-02-03,DQ
1994-02-10,NL
1994-02-18,PQ
1994-02-26,PL
1994-03-04,DQ
1994-03-12,NL
1994-03-20,PQ
1994-03-27,PL
1994-04-03,DQ
