Dates,Naissances
1991-01-01,2493
1991-01-02,2490
1991-01-03,2642
1991-01-04,2634
1991-01-05,2208
1991-01-06,1851
1991-01-07,2649
1991-01-08,2730
1991-01-09,2588
1991-01-10,2731
1991-01-11,2619
1991-01-12,2255
1991-01-13,2025
1991-01-14,2624
1991-01-15,2772
1991-01-16,2696
1991-01-17,2635
1991-01-18,2673
1991-01-19,2183
1991-01-20,1984
1991-01-21,2646
1991-01-22,2761
1991-01-23,2526
1991-01-24,2609
1991-01-25,2691
1991-01-26,2236
1991-01-27,1968
1991-01-28,2654
1991-01-29,2650
1991-01-30,2515
1991-01-31,2623
1991-02-01,2657
1991-02-02,2352
1991-02-03,1957
1991-02-04,2743
1991-02-05,2735
1991-02-06,2693
1991-02-07,2558
1991-02-08,2682
1991-02-09,2340
1991-02-10,2079
1991-02-11,2656
1991-02-12,2832
1991-02-13,2576
1991-02-14,2787
1991-02-15,2757
1991-02-16,2210
1991-02-17,1983
1991-02-18,2606
1991-02-19,2684
1991-02-20,2559
1991-02-21,2598
1991-02-22,2706
1991-02-23,2159
1991-02-24,2027
1991-02-25,2461
1991-02-26,2647
1991-02-27,2571
1991-02-28,2590
1991-03-01,2634
1991-03-02,2276
1991-03-03,2044
1991-03-04,2514
1991-03-05,2663
1991-03-06,2626
1991-03-07,2682
1991-03-08,2635
1991-03-09,2204
1991-03-10,1947
1991-03-11,2513
1991-03-12,2705
1991-03-13,2612
1991-03-14,2725
1991-03-15,2652
1991-03-16,2252
1991-03-17,1926
1991-03-18,2689
1991-03-19,2727
1991-03-20,2623
1991-03-21,2777
1991-03-22,2676
1991-03-23,2351
1991-03-24,2103
1991-03-25,2639
1991-03-26,2798
1991-03-27,2657
1991-03-28,2683
1991-03-29,2685
1991-03-30,2185
1991-03-31,1914
1991-04-01,2084
1991-04-02,2662
1991-04-03,2786
1991-04-04,2807
1991-04-05,2716
1991-04-06,2327
1991-04-07,2000
1991-04-08,2725
1991-04-09,2594
1991-04-10,2626
1991-04-11,2728
1991-04-12,2801
1991-04-13,2376
1991-04-14,1993
1991-04-15,2787
1991-04-16,2885
1991-04-17,2699
1991-04-18,2769
1991-04-19,2804
1991-04-20,2322
1991-04-21,2034
1991-04-22,2713
1991-04-23,2808
1991-04-24,2823
1991-04-25,2781
1991-04-26,2783
1991-04-27,2431
1991-04-28,2127
1991-04-29,2664
1991-04-30,2885
1991-05-01,2342
1991-05-02,2807
1991-05-03,2755
1991-05-04,2485
1991-05-05,2164
1991-05-06,2792
1991-05-07,3087
1991-05-08,2331
1991-05-09,2255
1991-05-10,2792
1991-05-11,2530
1991-05-12,2038
1991-05-13,2700
1991-05-14,2954
1991-05-15,2830
1991-05-16,2884
1991-05-17,2964
1991-05-18,2416
1991-05-19,2101
1991-05-20,2202
1991-05-21,2835
1991-05-22,2885
1991-05-23,2848
1991-05-24,2862
1991-05-25,2406
1991-05-26,2100
1991-05-27,2811
1991-05-28,2859
1991-05-29,2768
1991-05-30,2762
1991-05-31,2766
1991-06-01,2382
1991-06-02,2113
1991-06-03,2826
1991-06-04,2648
1991-06-05,2657
1991-06-06,2842
1991-06-07,2825
1991-06-08,2366
1991-06-09,2050
1991-06-10,2878
1991-06-11,2781
1991-06-12,2860
1991-06-13,2870
1991-06-14,2914
1991-06-15,2439
1991-06-16,2218
1991-06-17,2744
1991-06-18,2753
1991-06-19,2783
1991-06-20,2895
1991-06-21,2916
1991-06-22,2460
1991-06-23,2068
1991-06-24,2933
1991-06-25,3003
1991-06-26,2891
1991-06-27,2817
1991-06-28,2972
1991-06-29,2386
1991-06-30,2106
1991-07-01,2899
1991-07-02,2894
1991-07-03,2865
1991-07-04,2937
1991-07-05,3196
1991-07-06,2571
1991-07-07,2209
1991-07-08,2888
1991-07-09,2941
1991-07-10,2874
1991-07-11,3019
1991-07-12,3004
1991-07-13,2358
1991-07-14,2152
1991-07-15,2738
1991-07-16,2828
1991-07-17,2877
1991-07-18,2760
1991-07-19,2792
1991-07-20,2446
1991-07-21,2110
1991-07-22,2701
1991-07-23,2905
1991-07-24,2998
1991-07-25,2661
1991-07-26,2815
1991-07-27,2449
1991-07-28,2184
1991-07-29,2738
1991-07-30,2763
1991-07-31,2731
1991-08-01,2753
1991-08-02,2752
1991-08-03,2349
1991-08-04,2085
1991-08-05,2698
1991-08-06,2939
1991-08-07,2779
1991-08-08,2765
1991-08-09,2678
1991-08-10,2345
1991-08-11,2038
1991-08-12,2769
1991-08-13,2867
1991-08-14,2821
1991-08-15,2295
1991-08-16,2649
1991-08-17,2310
1991-08-18,2069
1991-08-19,2698
1991-08-20,2741
1991-08-21,2744
1991-08-22,2788
1991-08-23,2681
1991-08-24,2315
1991-08-25,2028
1991-08-26,2797
1991-08-27,2834
1991-08-28,2728
1991-08-29,2615
1991-08-30,2580
1991-08-31,2230
1991-09-01,2128
1991-09-02,2574
1991-09-03,2746
1991-09-04,2745
1991-09-05,2621
1991-09-06,2764
1991-09-07,2218
1991-09-08,2066
1991-09-09,2682
1991-09-10,2900
1991-09-11,2759
1991-09-12,2890
1991-09-13,2680
1991-09-14,2434
1991-09-15,2244
1991-09-16,2817
1991-09-17,2975
1991-09-18,2809
1991-09-19,2867
1991-09-20,2971
1991-09-21,2559
1991-09-22,2147
1991-09-23,2900
1991-09-24,2866
1991-09-25,2920
1991-09-26,2873
1991-09-27,2845
1991-09-28,2463
1991-09-29,2281
1991-09-30,2937
1991-10-01,2921
1991-10-02,2784
1991-10-03,2729
1991-10-04,2810
1991-10-05,2441
1991-10-06,2032
1991-10-07,2707
1991-10-08,2799
1991-10-09,2764
1991-10-10,2822
1991-10-11,2711
1991-10-12,2289
1991-10-13,1848
1991-10-14,2784
1991-10-15,2759
1991-10-16,2672
1991-10-17,2673
1991-10-18,2738
1991-10-19,2212
1991-10-20,1974
1991-10-21,2740
1991-10-22,2749
1991-10-23,2728
1991-10-24,2699
1991-10-25,2793
1991-10-26,2371
1991-10-27,1956
1991-10-28,2612
1991-10-29,2695
1991-10-30,2654
1991-10-31,2604
1991-11-01,2149
1991-11-02,2251
1991-11-03,1935
1991-11-04,2687
1991-11-05,2883
1991-11-06,2756
1991-11-07,2750
1991-11-08,2775
1991-11-09,2316
1991-11-10,2097
1991-11-11,2111
1991-11-12,2710
1991-11-13,2818
1991-11-14,2797
1991-11-15,2795
1991-11-16,2308
1991-11-17,2049
1991-11-18,2719
1991-11-19,2691
1991-11-20,2746
1991-11-21,2668
1991-11-22,2719
1991-11-23,2336
1991-11-24,1980
1991-11-25,2719
1991-11-26,2713
1991-11-27,2647
1991-11-28,2666
1991-11-29,2645
1991-11-30,2188
1991-12-01,2037
1991-12-02,2538
1991-12-03,2749
1991-12-04,2584
1991-12-05,2622
1991-12-06,2638
1991-12-07,2224
1991-12-08,1943
1991-12-09,2743
1991-12-10,2884
1991-12-11,2815
1991-12-12,2794
1991-12-13,2695
1991-12-14,2245
1991-12-15,2115
1991-12-16,2849
1991-12-17,2975
1991-12-18,2848
1991-12-19,2906
1991-12-20,2863
1991-12-21,2278
1991-12-22,2041
1991-12-23,2421
1991-12-24,2296
1991-12-25,1887
1991-12-26,2711
1991-12-27,2929
1991-12-28,2338
1991-12-29,2017
1991-12-30,2623
1991-12-31,2577
1992-01-01,2602
1992-01-02,2479
1992-01-03,2679
1992-01-04,2301
1992-01-05,2096
1992-01-06,2749
1992-01-07,2767
1992-01-08,2636
1992-01-09,2623
1992-01-10,2774
1992-01-11,2278
1992-01-12,2040
1992-01-13,2578
1992-01-14,2747
1992-01-15,2721
1992-01-16,2644
1992-01-17,2725
1992-01-18,2280
1992-01-19,2036
1992-01-20,2808
1992-01-21,2888
1992-01-22,2792
1992-01-23,2859
1992-01-24,2581
1992-01-25,2291
1992-01-26,2217
1992-01-27,2728
1992-01-28,2808
1992-01-29,2548
1992-01-30,2734
1992-01-31,2719
1992-02-01,2260
1992-02-02,2107
1992-02-03,2681
1992-02-04,2844
1992-02-05,2723
1992-02-06,2800
1992-02-07,2834
1992-02-08,2379
1992-02-09,2047
1992-02-10,2856
1992-02-11,2797
1992-02-12,2782
1992-02-13,2792
1992-02-14,2800
1992-02-15,2323
1992-02-16,2059
1992-02-17,2747
1992-02-18,2875
1992-02-19,2582
1992-02-20,2835
1992-02-21,2816
1992-02-22,2134
1992-02-23,1995
1992-02-24,2632
1992-02-25,2776
1992-02-26,2707
1992-02-27,2755
1992-02-28,2802
1992-02-29,2206
1992-03-01,1984
1992-03-02,2698
1992-03-03,2779
1992-03-04,2696
1992-03-05,2742
